Year,Crash Descriptor,Time,Time Label,Date,Day of Week,Police Report,Lighting Conditions,City,Collision Type Descriptor,County Name,Road Descriptor,Weather Conditions,Traffic Control Device,Road Surface Conditions,DOT Reference Marker Location,Pedestrian Bicyclist Action,Event Descriptor,Number of Vehicles Involved
2016,Property Damage & Injury Accident,21:53,Night,12/31/2016,Saturday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Snow,None,Snow/Ice,81I73051128,Not Applicable,"Sign Post, Collision With Fixed Object",1
2016,Property Damage Accident,13:29,Afternoon,12/30/2016,Friday,Y,Daylight,Minneapolis,LEFT TURN (3),JEFFERSON,Straight and Level,Cloudy,Stop Sign,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,11:01,Morning,12/26/2016,Monday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Level,Sleet/Hail/Freezing Rain,None,Snow/Ice,11 73051117,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,06:31,Morning,12/22/2016,Thursday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Grade,Snow,None,Slush,81I73051156,Not Applicable,"Guide Rail - Not At End, Collision With Fixed Object",1
2016,Property Damage Accident,14:36,Afternoon,12/22/2016,Thursday,Y,Daylight,Minneapolis,RIGHT ANGLE,JEFFERSON,Straight and Level,Snow,Stop Sign,Snow/Ice,11 73051116,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,22:08,Night,12/22/2016,Thursday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Grade,Clear,None,Wet,81I73051157,Not Applicable,Deer,1
2016,Injury Accident,04:34,Morning,12/21/2016,Wednesday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Cloudy,No Passing Zone,Snow/Ice,,Not Applicable,"Snow Embankment, Collision With Fixed Object",1
2016,Property Damage Accident,17:30,Night,12/21/2016,Wednesday,N,Unknown,Kansas City,OTHER,STEUBEN,Unknown,Unknown,Unknown,Unknown,,Not Applicable,Deer,1
2016,Property Damage & Injury Accident,17:46,Night,12/19/2016,Monday,Y,Dusk,Kansas City,OTHER,STEUBEN,Straight and Level,Clear,None,Dry,17 64041319,Not Applicable,"Other Motor Vehicle, Collision With",3
2016,Property Damage & Injury Accident,12:30,Afternoon,12/16/2016,Friday,Y,Daylight,Kansas City,REAR END,STEUBEN,Straight and Level,Cloudy,None,Dry,,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage & Injury Accident,14:00,Afternoon,12/15/2016,Thursday,Y,Daylight,Minneapolis,OVERTAKING,JEFFERSON,Straight and Level,Snow,None,Wet,178 73011089,Not Applicable,"Other Motor Vehicle, Collision With",2
2016,Property Damage Accident,19:34,Night,12/14/2016,Wednesday,Y,Dark-Road Unlighted,Minneapolis,OTHER,JEFFERSON,Straight and Level,Snow,None,Snow/Ice,81I73051111,Not Applicable,"Earth Embankment/Rock Cut/Ditch, Collision With Fixed Object",1
